episode,total_reward,steps,laps
1,65.8900,83,0
2,104.3689,122,0
3,55.0403,61,0
4,93.7572,111,0
5,58.9602,75,0
6,91.8396,108,0
7,33.7995,42,0
8,30.5691,39,0
9,125.8120,132,0
10,29.3528,38,0
11,54.1152,61,0
12,70.8969,91,0
13,64.0577,83,0
14,59.5700,65,0
15,108.0678,115,0
16,77.5422,95,0
17,51.5036,58,0
18,37.0754,45,0
19,52.5737,59,0
20,29.4805,38,0
21,29.7174,38,0
22,72.0517,93,0
23,51.7188,59,0
24,15.5109,25,0
25,104.3164,117,0
26,99.3678,102,0
27,89.1591,93,0
28,81.4895,103,0
29,81.2564,96,0
30,51.3652,58,0
31,11.0867,21,0
32,96.2840,111,0
33,58.4991,65,0
34,88.6138,92,0
35,89.2927,93,0
36,38.4347,46,0
37,91.6338,94,0
38,80.4455,98,0
39,31.5745,40,0
40,35.9580,44,0
41,32.8401,41,0
42,34.8242,43,0
43,116.1873,135,0
44,31.6147,40,0
45,86.4982,111,0
46,28.8967,38,0
47,30.4227,39,0
48,82.6315,87,0
49,98.9054,100,0
50,63.0650,83,0
51,56.8882,63,0
52,50.7024,58,0
53,95.0064,111,0
54,34.3292,43,0
55,59.2960,65,0
56,17.7522,27,0
57,104.9093,105,0
58,119.1376,118,0
59,89.6272,109,0
60,35.8882,44,0
61,50.8872,58,0
62,31.3897,40,0
63,62.4604,82,0
64,98.4059,116,0
65,29.4124,38,0
66,94.5402,110,0
67,50.5800,57,0
68,39.4975,47,0
69,106.9736,108,0
70,91.0093,93,0
71,29.5728,38,0
72,73.0089,95,0
73,49.6946,57,0
74,84.5501,88,0
75,29.3993,38,0
76,40.3145,49,0
77,38.1352,46,0
78,91.1749,112,0
79,90.2015,93,0
80,53.1875,60,0
81,123.4951,128,0
82,83.7611,87,0
83,105.5621,114,0
84,55.2820,62,0
85,116.1992,133,0
86,76.5629,101,0
87,103.4931,115,0
88,30.4003,39,0
89,103.7959,106,0
90,105.1815,106,0
91,61.0436,67,0
92,105.9598,107,0
93,37.3723,45,0
94,54.6368,61,0
95,50.9575,58,0
96,89.8720,102,0
97,39.7915,48,0
98,89.0865,92,0
99,104.5922,105,0
100,101.3372,113,0
101,29.6673,38,0
102,48.2767,56,0
103,90.1955,118,0
104,30.7792,39,0
105,29.3264,38,0
106,32.3403,41,0
107,111.6886,120,0
108,71.5246,77,0
109,56.9143,63,0
110,152.2270,156,0
111,91.5998,96,0
112,29.0578,38,0
113,40.1450,49,0
114,92.1017,95,0
115,39.4715,47,0
116,133.6989,138,0
117,56.1139,62,0
118,35.2073,43,0
119,36.2842,44,0
120,35.5392,44,0
121,102.1785,121,0
122,106.7629,133,0
123,106.1799,106,0
124,103.6322,105,0
125,31.4324,40,0
126,30.4145,39,0
127,105.1710,112,0
128,73.7018,78,0
129,71.5022,78,0
130,34.0253,42,0
131,100.3028,128,0
132,100.0828,102,0
133,49.7916,59,0
134,39.5442,47,0
135,30.6828,39,0
136,29.4436,38,0
137,135.0959,141,0
138,101.9552,113,0
139,97.4616,99,0
140,71.8974,77,0
141,33.9265,42,0
142,91.5208,95,0
143,57.1394,63,0
144,51.6070,58,0
145,100.5006,101,0
146,97.7947,121,0
147,96.5309,106,0
148,121.5274,119,0
149,51.2794,58,0
150,102.3866,104,0
151,119.8543,136,0
152,53.7757,60,0
153,103.6829,105,0
154,97.4174,99,0
155,89.0618,92,0
156,88.8103,92,0
157,39.4830,47,0
158,32.3586,41,0
159,54.2697,62,0
160,112.3869,112,0
161,122.4012,121,0
162,141.9059,148,0
163,136.2616,141,0
164,31.4661,40,0
165,39.3386,47,0
166,29.0692,38,0
167,29.4395,38,0
168,122.1646,121,0
169,116.0800,115,0
170,15.4415,25,0
171,99.6901,102,0
172,91.2875,96,0
173,30.3717,39,0
174,147.7573,156,0
175,39.3638,47,0
176,136.5543,134,0
177,40.6417,49,0
178,116.1588,115,0
179,133.0600,131,0
180,98.2930,100,0
181,33.6590,42,0
182,56.0562,65,0
183,59.4568,66,0
184,50.5286,58,0
185,83.4763,87,0
186,80.1147,85,0
187,124.5794,123,0
188,71.9463,77,0
189,90.7405,93,0
190,29.3325,38,0
191,72.7379,78,0
192,210.3616,240,0
193,104.0261,106,0
194,39.9642,49,0
195,51.4189,59,0
196,132.1752,129,0
197,32.6297,41,0
198,195.5011,191,0
199,38.1330,46,0
200,29.3614,38,0
201,81.6418,87,0
202,122.2295,121,0
203,107.6451,113,0
204,36.3264,44,0
205,79.2486,84,0
206,58.1477,65,0
207,87.7389,91,0
208,88.1593,91,0
209,130.3220,127,0
210,114.8566,114,0
211,113.9222,113,0
212,38.1717,46,0
213,122.3036,120,0
214,16.6852,26,0
215,104.4011,114,0
216,129.6201,127,0
217,139.3443,135,0
218,80.0939,84,0
219,122.4468,121,0
220,36.8280,45,0
221,29.4886,38,0
222,107.3220,107,0
223,32.1583,41,0
224,86.6772,91,0
225,120.4686,119,0
226,134.1405,131,0
227,117.9177,117,0
228,129.9698,127,0
229,54.5496,61,0
230,36.1691,44,0
231,141.5538,138,0
232,202.9194,192,0
233,105.0137,106,0
234,58.7023,65,0
235,241.7673,260,0
236,131.5836,129,0
237,39.1023,47,0
238,35.1343,43,0
239,305.5385,281,0
240,132.5639,131,0
241,128.3701,128,0
242,36.1959,45,0
243,133.7018,130,0
244,78.1951,84,0
245,83.0702,87,0
246,87.7065,91,0
247,150.0012,144,0
248,142.2101,138,0
249,151.5239,148,0
250,148.4430,142,0
251,154.8289,149,0
252,105.0997,107,0
253,144.7272,141,0
254,138.9990,135,0
255,137.2080,134,0
256,109.6387,111,0
