episode,total_reward,steps,laps
1,68.1724,78,0
2,62.3065,73,0
3,68.1863,82,0
4,73.7830,80,0
5,73.1013,82,0
6,74.4692,81,0
7,36.0970,45,0
8,65.6314,80,0
9,64.6150,79,0
10,79.7112,85,0
11,115.8229,131,0
12,61.2755,70,0
13,57.5446,63,0
14,21.1137,24,0
15,59.2827,65,0
16,82.6838,94,0
17,80.9982,94,0
18,22.4709,26,0
19,73.3675,82,0
20,92.2753,103,0
21,80.7463,81,0
22,22.5135,26,0
23,8.9494,13,0
24,31.4073,38,0
25,115.5535,124,0
26,76.3694,89,0
27,33.4608,41,0
28,55.9649,57,0
29,59.7760,74,0
30,82.3334,89,0
31,76.7201,98,0
32,29.0483,32,0
33,55.5106,58,0
34,57.8494,66,0
35,67.1699,69,0
36,70.6994,79,0
37,73.8789,79,0
38,54.6541,59,0
39,155.9350,175,0
40,84.5491,95,0
41,85.3978,97,0
42,82.4758,95,0
43,32.1117,39,0
44,58.4052,66,0
45,67.0161,68,0
46,92.9173,103,0
47,53.8677,58,0
48,66.9571,69,0
49,81.6643,85,0
50,17.8480,21,0
51,55.9808,67,0
52,91.9794,100,0
53,89.7997,98,0
54,63.6867,66,0
55,8.9454,13,0
56,29.8226,32,0
57,76.8205,80,0
58,58.8543,72,0
59,85.3649,94,0
60,16.6944,20,0
61,57.4265,64,0
62,63.1679,72,0
63,72.3605,77,0
64,72.2946,83,0
65,32.8795,40,0
66,86.2218,92,0
67,64.0022,79,0
68,60.9641,71,0
69,90.4312,100,0
70,76.2160,83,0
71,64.6180,66,0
72,92.8584,102,0
73,82.5314,87,0
74,61.8234,72,0
75,126.6201,151,0
76,58.4290,71,0
77,59.4207,64,0
78,57.4812,65,0
79,58.3031,66,0
80,64.9321,82,0
81,73.2841,89,0
82,81.2657,90,0
83,54.8299,59,0
84,68.6049,73,0
85,35.1372,43,0
86,75.3387,82,0
87,35.4084,44,0
88,69.9316,88,0
89,22.4811,26,0
90,132.5026,141,0
91,124.7126,131,0
92,73.5700,79,0
93,59.7122,74,0
94,57.2703,64,0
95,77.5412,90,0
96,72.6977,90,0
97,134.1465,149,0
98,72.9384,82,0
99,69.4349,79,0
100,34.2015,42,0
101,60.8775,74,0
102,64.6247,81,0
103,16.7254,20,0
104,64.9687,74,0
105,84.5034,90,0
106,68.6669,69,0
107,83.1443,99,0
108,34.3526,42,0
109,81.9813,90,0
110,59.3009,73,0
111,89.2603,100,0
112,89.2913,94,0
113,73.2823,80,0
114,77.5032,90,0
115,70.2035,73,0
116,79.1059,93,0
117,66.3055,82,0
118,71.1944,75,0
119,35.8064,45,0
120,16.7217,20,0
121,60.3623,64,0
122,116.2190,133,0
123,22.5297,26,0
124,59.2209,63,0
125,172.0616,187,0
126,76.2651,81,0
127,61.4343,71,0
128,84.1739,91,0
129,75.1073,84,0
130,80.5774,97,0
131,71.7239,73,0
132,8.9610,13,0
133,78.4198,90,0
134,59.3906,66,0
135,22.4353,26,0
136,67.9067,74,0
137,141.5409,143,0
138,70.6969,82,0
139,129.4322,139,0
140,69.1634,89,0
141,119.6062,124,0
142,73.7093,82,0
143,62.8427,73,0
144,108.1977,113,0
145,58.5464,66,0
146,8.9557,13,0
147,136.7764,142,0
148,8.9450,13,0
149,59.2677,65,0
150,80.4792,97,0
151,22.4924,26,0
152,34.5454,42,0
153,61.0705,66,0
154,58.9299,65,0
155,62.1890,72,0
156,108.6965,114,0
157,33.7708,42,0
158,111.3268,109,0
159,87.9819,93,0
160,61.6711,71,0
161,55.3758,56,0
162,8.9494,13,0
163,35.6401,44,0
